Identifier	Character	Dialogue	Filename	Line Number	Ren'Py Script
note_7a59b518	p	А я видела голубые водоросли, когда плавала в маске, мы справимся!!	game/note.rpy	36	p "[what]"
note_9d176436	p	Надо было плавать в маске, тогда бы я разглядела все дно. Не знаю, справимся ли мы	game/note.rpy	38	p "[what]"
parrot_a586fac5		Девочки подходят к морю	game/parrot.rpy	5	"[what]"
parrot_ee7df8b6		Ветер ласково перебирает им волосы, а солнце тепло касается их лиц	game/parrot.rpy	6	"[what]"
parrot_d7375fd2		На камне лежит маленький попугайчик	game/parrot.rpy	12	"[what]"
parrot_b608d9d7		Трепещет крылышками	game/parrot.rpy	26	"[what]"
parrot_eec83732		Видно, что попугайчик очень плохо себя чувствует	game/parrot.rpy	27	"[what]"
parrot_0762e769	d	Откуда здесь попугайчик?	game/parrot.rpy	28	d "[what]"
parrot_3a28adaf	p	И что с ним такое?	game/parrot.rpy	29	p "[what]"
save_parrot_2531c3cd		у вас нет 2 доброты	game/parrot.rpy	40	"[what]"
save_parrot_d5561dcc		Вы пытаетесь спасти попугая	game/parrot.rpy	45	"[what]"
save_parrot_dc330b23		у вас нет 2 монеты	game/parrot.rpy	49	"[what]"
save_parrot_32e10ee2		Искупавшись, вернуться к попугаю	game/parrot.rpy	53	"[what]"
save_parrot_3c4c102e		Высшие силы не довольны вашим выбором, и вы утонули, попробуйте выбрать другой вариант	game/parrot.rpy	58	"[what]"
how_save_parrot_b0b257ce		у вас не хватает ума	game/parrot.rpy	74	"[what]"
how_save_parrot_59911629		Попугай пришел в себя, начал вертеть головой	game/parrot.rpy	83	"[what]"
how_save_parrot_d0323cfb		У вас не хватает монет	game/parrot.rpy	88	"[what]"
how_save_parrot_eb4c6241		Выпив последнюю каплю лекарства, попугай пришел в себя	game/parrot.rpy	97	"[what]"
how_save_parrot_c06098b1		Попугай начал задыхаться и не выжил, попробуйте выбрать другой вариант	game/parrot.rpy	105	"[what]"
how_save_parrot_cf6132ba		Попугайчик испугался и сошел с ума, попробуйте выбрать другой вариант	game/parrot.rpy	115	"[what]"
parrot_no_273e40ec		[player_name] не успела спасти попугайчика	game/parrot.rpy	125	"[what]"
parrot_no_167a3f3e		Вернитесь и попробуйте снова	game/parrot.rpy	126	"[what]"
parrot_success_d4422964		Попугайчик, пошатываясь, встал на ноги	game/parrot.rpy	134	"[what]"
parrot_success_7baf2b83	p	О, попугайчику стало лучше! Мы помогли ему!	game/parrot.rpy	135	p "[what]"
parrot_success_4f8c32a3		Девочки удивленно распахнули глаза	game/parrot.rpy	157	"[what]"
parrot_success_871d14c9	p	Говорящий попугай!!	game/parrot.rpy	163	p "[what]"
parrot_success_91f4c001	v	Спасибо за помощь, мне нужна была местная пища или вода, чтобы зацепиться в этом мире	game/parrot.rpy	170	v "[what]"
parrot_success_f011b813	d	В этом мире?	game/parrot.rpy	177	d "[what]"
parrot_success_7cf684d7	v	Да, я из другого мира	game/parrot.rpy	180	v "[what]"
parrot_success_213d4ca2	v	Если бы вы не напоили меня, через некоторое время я растворился бы во времени и пространстве	game/parrot.rpy	185	v "[what]"
parrot_success_de87098a	v	Спасибо вам, девушки	game/parrot.rpy	188	v "[what]"
parrot_success_f200380b	p	Мы рады были помочь. А что случилось с твоим миром? Как ты оказался здесь?	game/parrot.rpy	192	p "[what]"
parrot_success_817a7995	v	Кто-то применил заклинание, и я оказался здесь	game/parrot.rpy	194	v "[what]"
parrot_success_1e94a6f3	v	Я понял, что я не своем мире, когда увидел людей и собак, у нас в мире нет людей и больших животных. Но я читал о них в древних преданиях	game/parrot.rpy	195	v "[what]"
parrot_world_aa726604	v	Мне необходима помощь в поиске портала в мой мир 	game/parrot.rpy	208	v "[what]"
parrot_world_c13a3d66	p	Портал, как его найти?	game/parrot.rpy	209	p "[what]"
parrot_world_02dd7328	v	Портал - это круг из 108 камней. Когда в него заходишь, то он начинает светиться фиолетовым	game/parrot.rpy	211	v "[what]"
parrot_world_ccdbc20b	v	Нужно прикоснуться к некоторой комбинации камней и свечение станет зеленым	game/parrot.rpy	212	v "[what]"
parrot_world_59d2e92d	v	Затем произойдет переход в другой мир	game/parrot.rpy	214	v "[what]"
parrot_world_15a5346c	v	Да, мне нужно вернуться домой, иначе там разразится война	game/parrot.rpy	219	v "[what]"
parrot_world_e3554d26	p	Война между кем, ради чего?	game/parrot.rpy	220	p "[what]"
parrot_world_ddcce5ae	v	Война между разными видами птиц	game/parrot.rpy	222	v "[what]"
parrot_world_c2047401	v	Такие, как гарпии, вороны и другие птицы недовольны правлением клана волнистых	game/parrot.rpy	223	v "[what]"
parrot_world_87a88484	v	Интриги последние 3 года. Я пытался найти заговорщиков	game/parrot.rpy	224	v "[what]"
parrot_world_20c5eb43	v	Поэтому меня изгнали, чтобы я не открыл правду имеющим власть и народу	game/parrot.rpy	226	v "[what]"
parrot_world_8f3b4268	v	С помощью колдуна, меня отправили в ваш мир 	game/parrot.rpy	231	v "[what]"
parrot_world_c3d3953b	v	А здесь, у моря, находится переход. Если бы вы не напоили меня, я бы быстро погиб. И не смог бы найти изменников и помочь нашему миру	game/parrot.rpy	232	v "[what]"
parrot_world_ac857179	p	Какой твой мир?	game/parrot.rpy	233	p "[what]"
parrot_world_13b7cc6b	v	Наш мир очень красив: дикие джунгли, города, пасеки, горы, реки и моря	game/parrot.rpy	235	v "[what]"
parrot_world_9f4cc893	v	В нем живут птицы, хамелеоны и насекомые, других животных нет, некоторые из нас обладают магией	game/parrot.rpy	236	v "[what]"
parrot_world_d54c3e76	v	Но длительное пребывание в мире без магии сделает нас обычными птицами, не очень разумными	game/parrot.rpy	238	v "[what]"
parrot_world_b4fe6f8e	v	Мне необходима помощь в поиске портала в мой мир	game/parrot.rpy	269	v "[what]"
parrot_world_c13a3d66_1	p	Портал, как его найти?	game/parrot.rpy	270	p "[what]"
parrot_world_02dd7328_1	v	Портал - это круг из 108 камней. Когда в него заходишь, то он начинает светиться фиолетовым	game/parrot.rpy	271	v "[what]"
parrot_world_ccdbc20b_1	v	Нужно прикоснуться к некоторой комбинации камней и свечение станет зеленым	game/parrot.rpy	273	v "[what]"
parrot_world_59d2e92d_1	v	Затем произойдет переход в другой мир	game/parrot.rpy	274	v "[what]"
parrot_world_15a5346c_1	v	Да, мне нужно вернуться домой, иначе там разразится война	game/parrot.rpy	278	v "[what]"
parrot_world_e3554d26_1	p	Война между кем, ради чего?	game/parrot.rpy	279	p "[what]"
parrot_world_ddcce5ae_1	v	Война между разными видами птиц	game/parrot.rpy	280	v "[what]"
parrot_world_c2047401_1	v	Такие, как гарпии, вороны и другие птицы недовольны правлением клана волнистых	game/parrot.rpy	282	v "[what]"
parrot_world_87a88484_1	v	Интриги последние 3 года. Я пытался найти заговорщиков	game/parrot.rpy	283	v "[what]"
parrot_world_20c5eb43_1	v	Поэтому меня изгнали, чтобы я не открыл правду имеющим власть и народу	game/parrot.rpy	285	v "[what]"
parrot_world_8f3b4268_1	v	С помощью колдуна, меня отправили в ваш мир 	game/parrot.rpy	291	v "[what]"
parrot_world_c3d3953b_1	v	А здесь, у моря, находится переход. Если бы вы не напоили меня, я бы быстро погиб. И не смог бы найти изменников и помочь нашему миру	game/parrot.rpy	293	v "[what]"
parrot_world_ac857179_1	p	Какой твой мир?	game/parrot.rpy	294	p "[what]"
parrot_world_13b7cc6b_1	v	Наш мир очень красив: дикие джунгли, города, пасеки, горы, реки и моря	game/parrot.rpy	295	v "[what]"
parrot_world_9f4cc893_1	v	В нем живут птицы, хамелеоны и насекомые, других животных нет, некоторые из нас обладают магией	game/parrot.rpy	297	v "[what]"
parrot_world_d54c3e76_1	v	Но длительное пребывание в мире без магии сделает нас обычными птицами, не очень разумными	game/parrot.rpy	299	v "[what]"
manywords_703b7fe2		Девочки были ошеломлены сказанным маленькой птицей	game/parrot.rpy	304	"[what]"
manywords_8110ea27		В это время попугайчик поднял крыло и высыпал на камень части картины	game/parrot.rpy	305	"[what]"
manywords_2eba7b86	v	Девушки, эта картина поможет нам найти портал, только при перемещении она порвалась	game/parrot.rpy	307	v "[what]"
manywords_6bdbd188	v	Помогите, пожалуйста, ее собрать	game/parrot.rpy	308	v "[what]"
rock_7ffd587c		Девочки, держась за веревку, поднимались сначала одна, потом вторая	game/rock.rpy	7	"[what]"
rock_652661d3	d	Ощущение, что руки стали очень горячими, не привыкла я лазить по веревке, как бы не соскользнуть с нее	game/rock.rpy	8	d "[what]"
rock_e84b14fb	p	Держись крепче, и все будет ок	game/rock.rpy	9	p "[what]"
rock_14a571bb	d	И почему ты нет лестницы?	game/rock.rpy	10	d "[what]"
rock_62dddcb6	p	Если бы были лесенки, то много людей смогли бы жить на горе	game/rock.rpy	11	p "[what]"
rock_be8e3c32	d	Так это 'естественный отбор' во всей красе?	game/rock.rpy	12	d "[what]"
rock_b465f450	p	Ага, похоже на то	game/rock.rpy	13	p "[what]"
rock_3aa30b99		Вдруг, [player_name] увидела большой камень	game/rock.rpy	15	"[what]"
stone_6ac8e8d5		Ваши туристические навыки улучшились	game/rock.rpy	32	"[what]"
stone_6af5dce4		Девочки удачно обошли камень	game/rock.rpy	39	"[what]"
stone_f07c3ef9		[player_name] подвернула ногу	game/rock.rpy	46	"[what]"
stone_f122c556		[player_name] ушибла бок	game/rock.rpy	54	"[what]"
stone_no_choice_25ab527b		[player_name] устала держаться за веревку и скатилась вниз. При этом ушибла коленку	game/rock.rpy	61	"[what]"
stone_no_choice_8105589b		Придется подниматься снова	game/rock.rpy	62	"[what]"
stone_success_66b1bfed		Веревка закончилась и девочки пошли по тропинке	game/rock.rpy	68	"[what]"
rope_68374e94	d	И как туда, интересно, все попадают?	game/rope.rpy	13	d "[what]"
rope_9134dfc3	d	Ладно, просто я устала, и рюкзак тяжелый	game/rope.rpy	16	d "[what]"
rope_26e0a192	p	Ну так зачем столько вещей с собой набрала? Не на год ведь поехала	game/rope.rpy	17	p "[what]"
rope_a5ecf47f	d	Веревка на ту поляну, о которой ты рассказывала?	game/rope.rpy	21	d "[what]"
rope_be08ef33	d	Надеюсь, что там не нужно быть альпинистом, чтобы залезть на верх? И вообще, веревка нас выдержит??	game/rope.rpy	25	d "[what]"
rope_6a5083a7	p	Конечно, выдержит, она и парней под сто килограмм с лишним выдерживает. А мы с тобой стройняшки. Да, подниматься будет нелегко, но мы справимся	game/rope.rpy	27	p "[what]"
sea_36b6db23	d	Будешь плавать в маске?	game/sea.rpy	13	d "[what]" nointeract
sea_e41faa79		Да	game/sea.rpy	15	"[what]"
sea_ddbb657e		О, я вижу все дно, и рыбки такие интересные, плавают стайками. Много-много мелких рыбок	game/sea.rpy	17	"[what]"
sea_32ad5588	d	Подожди меня, я тоже хочу посмотреть на рыбок	game/sea.rpy	18	d "[what]"
sea_5f4b6268	p	В глаза попала соленая вода и теперь их жжет	game/sea.rpy	22	p "[what]"
sea_56eece3b	d	А я тебе предлагала одеть маску, а ты поленилась ее доставать	game/sea.rpy	23	d "[what]"
sea_6f788df8	p	Да она в самом низу рюкзака, ее там час искать	game/sea.rpy	24	p "[what]"
sea_a81969f8	d	Тут водоросли и медузы!	game/sea.rpy	30	d "[what]" nointeract
sea_2b323c2d	p	А вот медузы мне тоже не нравятся. Какие-то из них даже жалятся	game/sea.rpy	35	p "[what]"
sea_2d1e6b9d		Так проходит некоторое время. Солнце уже не так жарит, а девочки расслабленно лежат у берега в прохладной морской воде, рассматривают камешки и ракушки	game/sea.rpy	52	"[what]"
sea_07260c40	p	Пойдем, может, ставить палатку?	game/sea.rpy	58	p "[what]"
sea_bb09f0cd	d	Хочу еще искупаться, вода приятно охлаждает	game/sea.rpy	61	d "[what]"
sea_fb4d729d	d	Ты иди посмотри что там наверху. А я приду позже	game/sea.rpy	64	d "[what]" nointeract
sea_6f955671		Дарина хитро улыбается	game/sea.rpy	68	"[what]"
sea_ce3e03f2		[player_name] переоделась в сухую одежду и пошла наверх, держась за веревку	game/sea.rpy	69	"[what]"
sea_752de2d7		Вскоре ее догнала Дарина	game/sea.rpy	70	"[what]"
sea_c5e6bb73	d	Да, в темноте будет определенно сложнее выполнить этот квест	game/sea.rpy	73	d "[what]"
sea_5c959a8e	p	Никогда не ставила палатку?	game/sea.rpy	74	p "[what]"
sea_830ccd55	d	Нет. Ладно, тогда еще 5 минут	game/sea.rpy	75	d "[what]"
sea_47717b1d		Девочки переоделись и пошли наверх	game/sea.rpy	76	"[what]"
space_d69e31ca	p	Какая красота!	game/space.rpy	12	p "[what]"
space_a2dd3bd1	p	Восхитительно!	game/space.rpy	17	p "[what]"
space_a0a47c88	d	Если, что падать будет очень далеко...	game/space.rpy	18	d "[what]"
space_eaaf45e7	p	Могу привязать тебя веревкой, что бы ты не упала	game/space.rpy	19	p "[what]"
space_cc07cb19	d	Что за фантазии тебя посещают?	game/space.rpy	21	d "[what]"
space_6884661c	d	У нас и веревки нет, совьешь ее из своих прекрасных волос или листьев деревьев?	game/space.rpy	22	d "[what]"
space_494b44e4	p	На такую высокую гору моих волос точно не хватит, так что возьму еще и твои не менее прерасные волосы	game/space.rpy	24	p "[what]"
space_de1df8ec	d	На мои волосы у меня другие планы, им еще расти и расти до твоих	game/space.rpy	25	d "[what]"
space_cc3f8199	d	Солнце уже приближается к закату	game/space.rpy	26	d "[what]"
where_tent_ba722f87	d	Где же нам поставить палатку?	game/space.rpy	43	d "[what]" nointeract
where_tent_13b655ea		Вы скатитесь с горы в море	game/space.rpy	48	"[what]"
where_tent_6ac8e8d5		Ваши туристические навыки улучшились	game/space.rpy	56	"[what]"
where_tent_62d77e9f		Вам будет спать мягко и удобно	game/space.rpy	60	"[what]"
where_tent_aaad2430		Ночью вам будет не до сна, по вам будут бегать маленькие кусачие гости	game/space.rpy	65	"[what]"
where_tent_3c5a4a69		Ночью вам будет не до сна, рядом с вами будут бегать большие кусачие гости	game/space.rpy	73	"[what]"
no_tent_52fc3eaf		[player_name] споткнулась о камень	game/space.rpy	81	"[what]"
tent_success_b28e752c		Наконец, девочки выбрали место и поставили палатку	game/space.rpy	88	"[what]"
tent_c048e882	d	А палатка не промокнет под дождем?	game/tent.rpy	6	d "[what]"
tent_6a768cbf	p	Нет, если тент и стенки палатки не будут соприкасаться друг с другом во время дождя	game/tent.rpy	7	p "[what]"
tent_a755f43b	d	Да, проснуться в луже, представляю какое это удовольствие!	game/tent.rpy	8	d "[what]"
tent_d89cdccc	p	Мы поставили палатку на хорошем месте, думаю, что все будет хорошо	game/tent.rpy	10	p "[what]"
tent_399d8cf5	p	Если конечно не начнется сильный ветер	game/tent.rpy	11	p "[what]"
tent_f2e4d9d6	d	Я столько сил потратила на вбивание колышков, сомневаюсь, что их легко будет достать обратно из земли	game/tent.rpy	12	d "[what]"
tent_b34404a1	p	Ага, ты постаралась на славу, пока их вколачивала. Так кряхтела и стучала, что я думала, сюда из соседнего хутора придут	game/tent.rpy	13	p "[what]"
what_will_do_9c4eea66	d	Что будем делать?	game/tent.rpy	23	d "[what]" nointeract
what_will_do_64a925b9	d	[player_name], где ты научилась играть на варгане?	game/tent.rpy	28	d "[what]"
what_will_do_495d7a98	p	Научил друг из трипа по Индии	game/tent.rpy	29	p "[what]"
what_will_do_60419416	d	Как его зовут?	game/tent.rpy	30	d "[what]"
what_will_do_b1949209	p	Его зовут Херриш, а мы называли его Херри. Возможно, скоро мы его увидим, он обещал приехать	game/tent.rpy	31	p "[what]"
what_will_do_636118d7	d	Как там в Индии?	game/tent.rpy	32	d "[what]"
what_will_do_5c75c04d	p	Очень жарко, звонко и благоухает. Коровы там священное животное, поэтому они ходят где хотят	game/tent.rpy	33	p "[what]"
what_will_do_067cceb1	p	Индийцы работают рикшами на велосипедах, продают и готовят еду прямо на улицах, а в храмах танцуют	game/tent.rpy	34	p "[what]"
what_will_do_358e2231	p	Вообще, море впечатлений, потом подробнее расскажу тебе	game/tent.rpy	35	p "[what]"
what_will_do_ad834467	d	У меня спина замерзла, пойдем в палатку?	game/tent.rpy	36	d "[what]"
what_will_do_3fc0f220	p	Да, давай	game/tent.rpy	37	p "[what]"
what_will_do_d8e07300		Не хватает доброты	game/tent.rpy	42	"[what]"
what_will_do_1f1c6c26		Аромат гречи с грибами и тушенкой наполнили поляну домашним уютом	game/tent.rpy	45	"[what]"
what_will_do_818f708c	p	Какая вкуснятина!	game/tent.rpy	47	p "[what]"
what_will_do_dbbcb48f	d	Да, это еще рецепт моей бабушки, у нее был свой ресторан, пока не началась перестройка	game/tent.rpy	48	d "[what]"
what_will_do_18bf3b32	p	Перестройка затронула многих, у моих соседей тогда случилась и вовсе скверная история	game/tent.rpy	50	p "[what]"
what_will_do_321827f0	d	Что за история?	game/tent.rpy	51	d "[what]"
what_will_do_dab64d44	p	Давай потом расскажу, это не сказка на ночь...	game/tent.rpy	52	p "[what]"
what_will_do_f6049ecb	p	Хочу уже улечься в теплый уютный спальник	game/tent.rpy	53	p "[what]"
what_will_do_71479a42	d	Да, а то завтра встанем поздно 	game/tent.rpy	54	d "[what]"
what_will_do_47b7cf3c		Не хватает ума	game/tent.rpy	58	"[what]"
what_will_do_9a8bcf5b		Спать будет тепло и удобно	game/tent.rpy	61	"[what]"
what_will_do_6010ff09	p	Как хорошо ты все распределила в палатке, стало уютно и ничего не будет мешать 	game/tent.rpy	63	p "[what]"
what_will_do_0318f1be	d	Да, мне тоже нравится, что бы все было на своем месте	game/tent.rpy	64	d "[what]"
what_will_do_e12544c3	p	Надеюсь, что этого порядка хватит не только на одну ночку со мной...	game/tent.rpy	65	p "[what]"
what_will_do_1523fe20	d	...	game/tent.rpy	67	d "[what]"
what_will_do_400da335	p	Я часто переворачиваюсь во сне	game/tent.rpy	68	p "[what]"
what_will_do_d8bc1005	d	Ничего страшного, я тоже не подарок	game/tent.rpy	70	d "[what]"
what_will_do_f7b6ac93		Не хватает успеха	game/tent.rpy	74	"[what]"
what_will_do_ea0f5149	p	Утром будет чем умыться	game/tent.rpy	78	p "[what]"
what_will_do_c6c5d6d8	d	Да, вода нам точно пригодится	game/tent.rpy	79	d "[what]"
later_032d7f20	p	Остальное сделаем завтра, сейчас уже совсем темно становится	game/tent.rpy	83	p "[what]"
later_49e6148b		Девочки и хамелеон после долгой и трудной дороги быстро засыпают в палатке	game/tent.rpy	87	"[what]"
later_40f6d663		Девочки после долгой и трудной дороги быстро засыпают в палатке	game/tent.rpy	89	"[what]"
later_354643cc		А на поляне, тем временем, появляется странный гость	game/tent.rpy	95	"[what]"
later_9ff5d344		Наступает утро	game/tent.rpy	101	"[what]"
later_f7d9f365	p	Я плохо спала ночью, слышались какие-то звуки	game/tent.rpy	109	p "[what]"
later_d94250d3	d	А у меня болят ступни ног и спина	game/tent.rpy	115	d "[what]" nointeract
later_ebbcff10	p	Затем, что ты хотела попробывать как жить без удобств!	game/tent.rpy	124	p "[what]"
later_0adc1467	p	Конечно, давай, ложись	game/tent.rpy	130	p "[what]"
later_26404172	p	Дарина, кто - то ходит рядом, интересно кто, пойдем посмотрим	game/tent.rpy	136	p "[what]"
later_3f6ad2b5		Девочки видят на соседней поляне мужчину в деловом костюме	game/tent.rpy	140	"[what]"
later_1523fe20	d	...	game/tent.rpy	141	d "[what]"
later_645c6fba	p	Странная одежда для отдыха в палатке	game/tent.rpy	144	p "[what]"
later_275f314d	d	Может, у него спортивок нет?	game/tent.rpy	146	d "[what]"
later_5c8a06a9		Молодой человек подходит ближе	game/tent.rpy	148	"[what]"
later_07059aa5	n	Привет, девчонки, я Кирилл	game/tent.rpy	156	n "[what]" nointeract
later_46d2409d	k	Вы тут недавно? Не видел вас вчера 	game/tent.rpy	160	k "[what]"
later_ab806770	p	Мы пришли сюда уже под вечер, тебя тоже не заметили	game/tent.rpy	161	p "[what]"
later_43a39fe3	d	Где твоя палатка?	game/tent.rpy	162	d "[what]"
later_5b60657c	k	Отсюда ее не видно, она за холмом	game/tent.rpy	163	k "[what]"
later_9432763c	k	Вы уже говорите, следовательно, я уже не являюсь 'незнакомцем'	game/tent.rpy	167	k "[what]"
later_4e8dfe74	p	Хм...	game/tent.rpy	168	p "[what]"
later_341be401	p	Ты контрабандист?	game/tent.rpy	174	p "[what]"
later_53b0181b		Кирилл и нервно засмеялся	game/tent.rpy	176	"[what]"
later_dc759791	k	Как угадала?	game/tent.rpy	178	k "[what]"
later_7ccd9537		Ахахаха...	game/tent.rpy	196	"[what]"
later_aaa20772	p	Кирилл, смотри, кого мы нашли вчера на тропинке. Знаешь чей он?	game/tent.rpy	205	p "[what]"
later_ce99d7d3		Кирилл посмотрел на хамелеона и вздрогнул	game/tent.rpy	207	"[what]"
later_3666f6b3	k	Нет, не знаю, чей он	game/tent.rpy	213	k "[what]"
later_ee8145c5	p	Кирилл, видел на тропинке хамелеона?	game/tent.rpy	220	p "[what]"
later_6619a2de	k	Нет, не видел ни хамелеона, ни его хозяев	game/tent.rpy	226	k "[what]"
later_814769c7		Лицо Кирилла, как будто, на секунду застыло, и он чем-то задумался	game/tent.rpy	237	"[what]"
later_5ba44ff3	k	Так, я и выложил вам все мои секреты	game/tent.rpy	243	k "[what]"
later_6d9a1331	d	Все тайное рано или поздно становится явным...	game/tent.rpy	244	d "[what]"
later_7a40059e	p	Ладно, мы же пошутили, не будь букой	game/tent.rpy	245	p "[what]"
later_7b33b782	k	Ок, прощаю вам ваши инсинуации в мой адрес. Я сегодня великодушный	game/tent.rpy	246	k "[what]"
later_74f9ecb0	k	И то и другое	game/tent.rpy	249	k "[what]"
later_a891a81c	p	Как интересно! Расскажешь подробности?	game/tent.rpy	250	p "[what]"
later_80e73f10	d	А ты здесь один или с друзьями или подругой?	game/tent.rpy	251	d "[what]"
later_fb7bae7c	k	Сколько вопросов! Я один, и у меня здесь важное дело, связанное с моей семьей, подробности пока и сам не все знаю	game/tent.rpy	252	k "[what]"
later_f6beafcf	k	А вы надолго приехали?	game/tent.rpy	254	k "[what]" nointeract
later_cd39a08e	p	Так, что мы будем отдыхать и купаться сколько захотим	game/tent.rpy	256	p "[what]"
